CUSTOMER_NUMBER,BENFORD_DEV,ACTIVITY_SEQ_RARITY,TRANS_AMOUNT_Z_SCORE,BALANCE_COVERAGE_RATIO,SPIKE_1H_VS_24H,SPIKE_24H_VS_7D,SPIKE_7D_VS_30D,TRANS_AMOUNT_VS_30D_AVG_RATIO
19933,-0.3369813,-0.048735864,8.060748,0.7074096,-0.504455,-0.1143433,-0.15744832,2.4766555
19962,-0.45797783,0.2023317,3.1158113,-1.427429,-0.50820994,-0.09948748,0.17700894,6.39021
19962,-0.43583187,0.26024413,6.7005386,-1.5682604,0.040063486,-0.09948748,0.2306383,4.4432893
20903,-0.60808665,-0.1345422,6.8599277,0.9624139,-0.17255501,-0.10186993,-0.17246687,4.2547894
21959,-0.6039243,-0.138668,6.7850447,0.55681545,-0.0016293218,-0.11125275,-0.22666603,4.1365404
21959,-0.624438,-0.13602419,6.6303363,0.59309685,-0.43247926,-0.10877111,-0.15935342,4.151928
21969,-0.5942919,-0.047847632,6.4338217,3.1847305,-0.28878313,-0.06918649,0.16218868,-0.7365726
21969,-0.5302953,-0.13676637,3.426213,1.2745252,0.018213565,-0.0932597,-0.19764131,6.270867
22019,-0.67992324,-0.16576491,6.6972156,-0.22209272,-0.044371054,-0.11125275,-0.22104923,4.148946
22046,-0.507955,-0.050470434,8.046058,-0.40790135,-0.60812414,-0.10826856,0.23407134,2.2939699
22222,-0.646944,-0.13412257,6.629386,0.58331245,-0.44175276,-0.10877111,-0.15935342,4.151928
22338,0.79910153,-0.16160928,4.1816463,-0.6264524,-0.20751998,-0.095982015,0.24685791,5.8378677
22487,0.026410729,-0.017754827,7.299886,2.0908732,0.2409922,-0.078782216,0.05266924,4.469467
22487,0.06553955,-0.017754827,9.625328,2.8444765,0.9520759,-0.07579802,0.30246502,4.2030554
22536,0.5518738,-0.17085432,3.9322731,0.17190197,-0.38627586,-0.10285785,-0.20015132,5.832958
23302,1.5768949,-0.16931953,7.3821845,0.51573616,-0.024457324,-0.09987366,0.41772538,4.5573616
23302,1.5215092,-0.17673361,3.3892982,-0.08821706,-0.05079109,-0.059991837,-0.25038204,6.3253374
23385,-0.69235533,-0.13442445,8.120903,0.3490629,-0.039550178,-0.11125275,0.02232498,3.1033757
23397,-0.5339417,-0.04838782,3.5846908,4.332928,0.44328249,-0.06918649,0.21122572,0.68678653
23630,-0.16678956,-0.009921702,8.218159,-0.3134849,-0.021583606,-0.11116729,-0.2280281,2.257508
24066,-0.559449,-0.14150335,7.290773,1.4393774,0.70466614,-0.09027551,0.29964796,4.278993
